accuracy,fold,power,n_neighbors,weights,leaf_size
0.37254901960784315,0,2,15,uniform,10
0.3115468409586057,1,2,15,uniform,10
0.30501089324618735,2,2,15,uniform,10
0.37254901960784315,0,3,15,uniform,10
0.3115468409586057,1,3,15,uniform,10
0.30501089324618735,2,3,15,uniform,10
0.37254901960784315,0,4,15,uniform,10
0.3115468409586057,1,4,15,uniform,10
0.30501089324618735,2,4,15,uniform,10
0.35947712418300654,0,1,20,uniform,10
0.30718954248366015,1,1,20,uniform,10
0.2984749455337691,2,1,20,uniform,10
0.355119825708061,0,2,20,uniform,10
0.3093681917211329,1,2,20,uniform,10
0.29411764705882354,2,2,20,uniform,10
0.355119825708061,0,3,20,uniform,10
0.3093681917211329,1,3,20,uniform,10
0.29411764705882354,2,3,20,uniform,10
0.355119825708061,0,4,20,uniform,10
0.3093681917211329,1,4,20,uniform,10
0.29411764705882354,2,4,20,uniform,10
0.599128540305011,0,1,1,uniform,15
0.514161220043573,1,1,1,uniform,15
0.5599128540305011,2,1,1,uniform,15
0.5969498910675382,0,2,1,uniform,15
0.5163398692810458,1,2,1,uniform,15
0.5620915032679739,2,2,1,uniform,15
0.5947712418300654,0,3,1,uniform,15
0.5163398692810458,1,3,1,uniform,15
0.5620915032679739,2,3,1,uniform,15
0.5947712418300654,0,4,1,uniform,15
0.5163398692810458,1,4,1,uniform,15
0.5620915032679739,2,4,1,uniform,15
0.3747276688453159,0,1,2,uniform,15
0.3224400871459695,1,1,2,uniform,15
0.35294117647058826,2,1,2,uniform,15
0.37254901960784315,0,2,2,uniform,15
0.32679738562091504,1,2,2,uniform,15
0.35294117647058826,2,2,2,uniform,15
0.37037037037037035,0,3,2,uniform,15
0.3289760348583878,1,3,2,uniform,15
0.355119825708061,2,3,2,uniform,15
0.37037037037037035,0,4,2,uniform,15
0.3289760348583878,1,4,2,uniform,15
0.355119825708061,2,4,2,uniform,15
0.4117647058823529,0,1,5,uniform,15
0.3420479302832244,1,1,5,uniform,15
0.39869281045751637,2,1,5,uniform,15
0.4074074074074074,0,2,5,uniform,15
0.3464052287581699,1,2,5,uniform,15
0.4008714596949891,2,2,5,uniform,15
0.40522875816993464,0,3,5,uniform,15
0.3464052287581699,1,3,5,uniform,15
0.40305010893246185,2,3,5,uniform,15
0.40522875816993464,0,4,5,uniform,15
0.3464052287581699,1,4,5,uniform,15
0.40305010893246185,2,4,5,uniform,15
0.3660130718954248,0,1,10,uniform,15
0.289760348583878,1,1,10,uniform,15
0.29193899782135074,2,1,10,uniform,15
0.37037037037037035,0,2,10,uniform,15
0.29411764705882354,1,2,10,uniform,15
0.29193899782135074,2,2,10,uniform,15
0.3681917211328976,0,3,10,uniform,15
0.29193899782135074,1,3,10,uniform,15
0.29193899782135074,2,3,10,uniform,15
0.3681917211328976,0,4,10,uniform,15
0.29193899782135074,1,4,10,uniform,15
0.29193899782135074,2,4,10,uniform,15
0.3790849673202614,0,1,15,uniform,15
0.3093681917211329,1,1,15,uniform,15
0.30718954248366015,2,1,15,uniform,15
0.3747276688453159,0,2,15,uniform,15
0.3115468409586057,1,2,15,uniform,15
0.30718954248366015,2,2,15,uniform,15
0.3747276688453159,0,3,15,uniform,15
0.3115468409586057,1,3,15,uniform,15
0.30718954248366015,2,3,15,uniform,15
0.3747276688453159,0,4,15,uniform,15
0.3115468409586057,1,4,15,uniform,15
0.30718954248366015,2,4,15,uniform,15
0.35947712418300654,0,1,20,uniform,15
0.30718954248366015,1,1,20,uniform,15
0.29411764705882354,2,1,20,uniform,15
0.355119825708061,0,2,20,uniform,15
0.3093681917211329,1,2,20,uniform,15
0.289760348583878,2,2,20,uniform,15
0.355119825708061,0,3,20,uniform,15
0.3093681917211329,1,3,20,uniform,15
0.29193899782135074,2,3,20,uniform,15
0.355119825708061,0,4,20,uniform,15
0.3093681917211329,1,4,20,uniform,15
0.29193899782135074,2,4,20,uniform,15
0.599128540305011,0,1,1,uniform,20
0.514161220043573,1,1,1,uniform,20
0.5599128540305011,2,1,1,uniform,20
0.5969498910675382,0,2,1,uniform,20
0.5163398692810458,1,2,1,uniform,20
0.5620915032679739,2,2,1,uniform,20
0.5947712418300654,0,3,1,uniform,20
0.5163398692810458,1,3,1,uniform,20
0.5620915032679739,2,3,1,uniform,20
0.5947712418300654,0,4,1,uniform,20
0.5163398692810458,1,4,1,uniform,20
0.5620915032679739,2,4,1,uniform,20
0.3747276688453159,0,1,2,uniform,20
0.3224400871459695,1,1,2,uniform,20
0.35294117647058826,2,1,2,uniform,20
0.37254901960784315,0,2,2,uniform,20
0.32679738562091504,1,2,2,uniform,20
0.35294117647058826,2,2,2,uniform,20
0.37037037037037035,0,3,2,uniform,20
0.3289760348583878,1,3,2,uniform,20
0.355119825708061,2,3,2,uniform,20
0.37037037037037035,0,4,2,uniform,20
0.3289760348583878,1,4,2,uniform,20
0.355119825708061,2,4,2,uniform,20
0.4117647058823529,0,1,5,uniform,20
0.3420479302832244,1,1,5,uniform,20
0.39869281045751637,2,1,5,uniform,20
0.4074074074074074,0,2,5,uniform,20
0.3464052287581699,1,2,5,uniform,20
0.4008714596949891,2,2,5,uniform,20
0.40522875816993464,0,3,5,uniform,20
0.3464052287581699,1,3,5,uniform,20
0.40305010893246185,2,3,5,uniform,20
0.40522875816993464,0,4,5,uniform,20
0.3464052287581699,1,4,5,uniform,20
0.40305010893246185,2,4,5,uniform,20
0.3660130718954248,0,1,10,uniform,20
0.289760348583878,1,1,10,uniform,20
0.29193899782135074,2,1,10,uniform,20
0.37037037037037035,0,2,10,uniform,20
0.29411764705882354,1,2,10,uniform,20
0.29193899782135074,2,2,10,uniform,20
0.3681917211328976,0,3,10,uniform,20
0.29193899782135074,1,3,10,uniform,20
0.29193899782135074,2,3,10,uniform,20
0.3681917211328976,0,4,10,uniform,20
0.29193899782135074,1,4,10,uniform,20
0.29193899782135074,2,4,10,uniform,20
0.3790849673202614,0,1,15,uniform,20
0.3093681917211329,1,1,15,uniform,20
0.30718954248366015,2,1,15,uniform,20
0.3747276688453159,0,2,15,uniform,20
0.3115468409586057,1,2,15,uniform,20
0.30718954248366015,2,2,15,uniform,20
0.3747276688453159,0,3,15,uniform,20
0.3115468409586057,1,3,15,uniform,20
0.30718954248366015,2,3,15,uniform,20
0.3747276688453159,0,4,15,uniform,20
0.3115468409586057,1,4,15,uniform,20
0.30718954248366015,2,4,15,uniform,20
0.35947712418300654,0,1,20,uniform,20
0.30718954248366015,1,1,20,uniform,20
0.29411764705882354,2,1,20,uniform,20
0.355119825708061,0,2,20,uniform,20
0.3093681917211329,1,2,20,uniform,20
0.289760348583878,2,2,20,uniform,20
0.355119825708061,0,3,20,uniform,20
0.3093681917211329,1,3,20,uniform,20
0.29193899782135074,2,3,20,uniform,20
0.355119825708061,0,4,20,uniform,20
0.3093681917211329,1,4,20,uniform,20
0.29193899782135074,2,4,20,uniform,20
0.5904139433551199,0,1,1,uniform,30
0.5054466230936819,1,1,1,uniform,30
0.5490196078431373,2,1,1,uniform,30
0.5882352941176471,0,2,1,uniform,30
0.5076252723311547,1,2,1,uniform,30
0.55119825708061,2,2,1,uniform,30
0.5860566448801743,0,3,1,uniform,30
0.5076252723311547,1,3,1,uniform,30
0.55119825708061,2,3,1,uniform,30
0.5860566448801743,0,4,1,uniform,30
0.5076252723311547,1,4,1,uniform,30
0.55119825708061,2,4,1,uniform,30
0.3769063180827887,0,1,2,uniform,30
0.32461873638344224,1,1,2,uniform,30
0.35294117647058826,2,1,2,uniform,30
