accuracy,hidden_layer_size,alpha,max_iter,solver
0.09586056644880174,"[100, 100]",0.0001,400,sgd
0.08932461873638345,"[100, 100]",0.0001,400,sgd
0.08714596949891068,"[100, 100]",0.001,400,sgd
0.0915032679738562,"[100, 100]",0.001,400,sgd
0.10675381263616558,"[100, 100]",0.001,400,sgd
0.08061002178649238,"[100, 100]",0.01,400,sgd
0.10675381263616558,"[100, 100]",0.01,400,sgd
0.0915032679738562,"[100, 100]",0.01,400,sgd
0.08496732026143791,"[100, 100]",0.1,400,sgd
0.10457516339869281,"[100, 100]",0.1,400,sgd
0.08061002178649238,"[100, 100]",0.1,400,sgd
0.0718954248366013,"[100, 100]",0.3,400,sgd
0.08932461873638345,"[100, 100]",0.3,400,sgd
0.09586056644880174,"[100, 100]",0.3,400,sgd
0.08061002178649238,"[100, 100]",0.5,400,sgd
0.0915032679738562,"[100, 100]",0.5,400,sgd
0.0784313725490196,"[100, 100]",0.5,400,sgd
0.08496732026143791,"[100, 100]",0.6,400,sgd
0.08932461873638345,"[100, 100]",0.6,400,sgd
0.08061002178649238,"[100, 100]",0.6,400,sgd
0.08932461873638345,"[100, 200]",0.0001,400,sgd
0.09368191721132897,"[100, 200]",0.0001,400,sgd
0.08061002178649238,"[100, 200]",0.0001,400,sgd
0.08061002178649238,"[100, 200]",0.001,400,sgd
0.1111111111111111,"[100, 200]",0.001,400,sgd
0.08278867102396514,"[100, 200]",0.001,400,sgd
0.0718954248366013,"[100, 200]",0.01,400,sgd
0.08932461873638345,"[100, 200]",0.01,400,sgd
0.09368191721132897,"[100, 200]",0.01,400,sgd
0.0784313725490196,"[100, 200]",0.1,400,sgd
0.10675381263616558,"[100, 200]",0.1,400,sgd
0.10239651416122005,"[100, 200]",0.1,400,sgd
0.0718954248366013,"[100, 200]",0.3,400,sgd
0.08932461873638345,"[100, 200]",0.3,400,sgd
0.08061002178649238,"[100, 200]",0.3,400,sgd
0.06971677559912855,"[100, 200]",0.5,400,sgd
0.0915032679738562,"[100, 200]",0.5,400,sgd
0.0784313725490196,"[100, 200]",0.5,400,sgd
0.06971677559912855,"[100, 200]",0.6,400,sgd
0.0915032679738562,"[100, 200]",0.6,400,sgd
0.0784313725490196,"[100, 200]",0.6,400,sgd
0.0915032679738562,"[100, 250]",0.0001,400,sgd
0.10021786492374728,"[100, 250]",0.0001,400,sgd
0.08278867102396514,"[100, 250]",0.0001,400,sgd
0.0784313725490196,"[100, 250]",0.001,400,sgd
0.1111111111111111,"[100, 250]",0.001,400,sgd
0.08496732026143791,"[100, 250]",0.001,400,sgd
0.08714596949891068,"[100, 250]",0.01,400,sgd
0.09368191721132897,"[100, 250]",0.01,400,sgd
0.10675381263616558,"[100, 250]",0.01,400,sgd
0.07625272331154684,"[100, 250]",0.1,400,sgd
0.10893246187363835,"[100, 250]",0.1,400,sgd
0.08714596949891068,"[100, 250]",0.1,400,sgd
0.06971677559912855,"[100, 250]",0.3,400,sgd
0.0915032679738562,"[100, 250]",0.3,400,sgd
0.0784313725490196,"[100, 250]",0.3,400,sgd
0.07407407407407407,"[100, 250]",0.5,400,sgd
0.08932461873638345,"[100, 250]",0.5,400,sgd
0.0784313725490196,"[100, 250]",0.5,400,sgd
0.06971677559912855,"[100, 250]",0.6,400,sgd
0.09368191721132897,"[100, 250]",0.6,400,sgd
0.0784313725490196,"[100, 250]",0.6,400,sgd
0.11546840958605664,"[200, 100]",0.0001,400,sgd
0.12636165577342048,"[200, 100]",0.0001,400,sgd
0.11764705882352941,"[200, 100]",0.0001,400,sgd
0.08714596949891068,"[200, 100]",0.001,400,sgd
0.10893246187363835,"[200, 100]",0.001,400,sgd
0.1328976034858388,"[200, 100]",0.001,400,sgd
0.10239651416122005,"[200, 100]",0.01,400,sgd
0.13725490196078433,"[200, 100]",0.01,400,sgd
0.12854030501089325,"[200, 100]",0.01,400,sgd
0.08932461873638345,"[200, 100]",0.1,400,sgd
0.11546840958605664,"[200, 100]",0.1,400,sgd
0.10457516339869281,"[200, 100]",0.1,400,sgd
0.08278867102396514,"[200, 100]",0.3,400,sgd
0.09803921568627451,"[200, 100]",0.3,400,sgd
0.11328976034858387,"[200, 100]",0.3,400,sgd
