标题,标题链接,头像,字段1,xi2,num,字段2,字段3,字段4,new,字段5,common
记一次坎坷的理财经历，投资安全最重要,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777145&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-16,0,414,幻影德仔,2019-3-16 16:43,,,,[其它]
阿里巴巴&蚂蚁金服招人了,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777134&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-15,0,255,猩猩逛街,2019-3-15 18:21,,,,[实习招聘]
【求职不要等】想成为HR？你可以C位出道！ 校园运营专员，你想要的成长起跑线,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776664&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-2-28,1,663,ryanwong,2019-3-15 11:15,,,,[全职招聘]
【人力资源管培生】毕业就想进管理层？专业导师助你快速成长！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776791&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-7,2,459,ryanwong,2019-3-15 11:14,,,,[全职招聘]
【招聘专员/HR】还在求职路上观望的同学，这次春招你真的别再错过了！,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777115&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-14,3,283,ryanwong,2019-3-15 11:11,,,,[全职招聘]
武汉未来科技城2019专场招聘会,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777118&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-15,0,433,alisa01,2019-3-15 10:04,,,,[全职招聘]
“恒心在·大未来”恒大集团“恒星计划”2019春季校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777113&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-14,1,267,alisa01,2019-3-15 10:03,,,,[全职招聘]
互联网金融是储户投资的新机会,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777117&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-15,0,242,幻影德仔,2019-3-15 09:10,,,,[其它]
急招初高中数学、物理家教,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777046&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-9,7,255,誉恩大石桥南,2019-3-14 19:22,,,,[实习招聘]
产品模特，校内照相即可。几张照片酬劳60元+礼品,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777100&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-13,2,180,cyber,2019-3-14 15:55,,,,[全职招聘]
国家粮食和物资储备局部分直属、联系单位,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777091&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-12,0,162,双生花,2019-3-12 15:13,,,,[全职招聘]
广发卡2019校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776773&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-6,11,343,job2012,2019-3-12 14:26,,,,[全职招聘]
广东移动2019春季校园招聘暨实习生招聘项目,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776657&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-2-27,3,361,job2012,2019-3-12 09:54,,,,[全职招聘]
如何解决“中年危机”，物质需求是前提,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777059&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-10,1,132,cyber,2019-3-12 09:21,,,,[其它]
新东方全球招聘会-华南站,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1777078&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-12,0,309,晴空一碧88,2019-3-12 00:01,,,,[全职招聘]
前所未有，程你未来2019校园招聘,http://hometown.scau.edu.cn/forum.php?mod=viewthread&tid=1776775&extra=page%3D2,http://hometown.scau.edu.cn/static/image/common/folder_common.gif,2019-3-6,2,290,晴空一碧88,2019-3-11 23:58,,,,[实习招聘]
